vacancy_id,VacancyId,Name,Reference,Client,HiringManager,PositionType,AddressCity,AddressPostCode,AddressCountry,Salary
11,8ce08858-b37c-ee11-94fa-000d3ad6abf9,Streaming Engineer,PR/005390,Koepp-Gislason,Lucinda Hudson,Permanent,Lisburn,HK88 5XN,United Kingdom, 42000
12,0f388fe2-fe68-ee11-94f7-000d3ad6abf9,Linux Engineer,PR/005025,"McCullough, Beahan and Abshire",Emmalee O'Connell,Permanent,Birmingham,KY27 5VQ,United Kingdom,32000
13,296a3af4-2a8d-ee11-be36-6045bd0c1d6a,sql developer,CR/006053,Lesch-Langworth,Zula Kuhic,Contract,Aberdeen,PE68 3TT,United Kingdom,48000
14,712d8fe2-fe68-ee11-94f7-000d3ad6abf9,Data Engineer,PR/002307,"Beatty, Durgan and Marquardt",Blake Effertz,Permanent,Londonderry,WV41 5IY,United Kingdom,38000
15,4f2c8fe2-fe68-ee11-94f7-000d3ad6abf9,Database Administrator,PR/002017,"Kulas, Wilkinson and Gorczany",Jo Zemlak,Permanent,Nottingham,SP50 5SC,United Kingdom,55000
16,61bb8a5e-f898-ee11-be37-002248c6f667,Testing,,Abbott Group,Libby Dickens,Permanent,Londonderry County Borough,QL26 1IB,United Kingdom,10000
17,15388fe2-fe68-ee11-94f7-000d3ad6abf9,Head of Development,PR/005031,"Emard, Reynolds and Cummerata",Margaret Kris,Permanent,Dundee,VR02 0JG,United Kingdom,86000
18,70fa3f53-c399-ee11-be37-002248c6f97c,C# Developer,,Barclays,Aaliyah Berge,Contract,,,,88000
19,aae08858-b37c-ee11-94fa-000d3ad6abf9,Cloud Migration Strategist,CR/005420,"O'Conner, Bailey and Effertz",Spencer Lebsack,Contract,Birmingham,NZ64 4JG,United Kingdom,98000
20,ec388fe2-fe68-ee11-94f7-000d3ad6abf9,Senior Systems Admin,PR/005246,"Lesch, Cole and Moore",Wilber Smith,Permanent,Newtownabbey,CT80 7AF,United Kingdom,82000
21,e4388fe2-fe68-ee11-94f7-000d3ad6abf9,Senior ServiceNow Developer,PR/005238,Goodwin-Ernser,Nathanial Considine,Permanent,Nottingham,EM86 6JA,United Kingdom,92000
22,bf388fe2-fe68-ee11-94f7-000d3ad6abf9,Reporting & Analytics Engineer,PR/005201,Kassulke Inc and Sons,Anjali Rutherford,Permanent,Wrexham,IO06 5NP,United Kingdom,52000
23,a6e08858-b37c-ee11-94fa-000d3ad6abf9,Equity Derivatives Trader,PR/005416,"Ortiz, Howell and Purdy",Cedrick Cummerata,Permanent,Paisley,UG68 8OG,United Kingdom,58500
24,a8e08858-b37c-ee11-94fa-000d3ad6abf9,Machine Learning Engineer,PR/005418,Funk-Upton,Royce Rutherford,Permanent,Nottingham,ZT15 8PM,United Kingdom,68500
25,93e08858-b37c-ee11-94fa-000d3ad6abf9,MWAM Desktop Support Engineer,PR/005397,Lesch-Hirthe,Golda Pouros,Permanent,Londonderry,UW26 3AF,United Kingdom,38500
26,84388fe2-fe68-ee11-94f7-000d3ad6abf9,Head of Development,PR/005142,Orn Inc and Sons,Carlos Langworth,Permanent,Dundee,OR56 1LQ,United Kingdom,68500
27,af2335d7-1f82-ee11-8179-6045bd0c1c1b,Desktop Support Engineer,PR/006007,Larkin-Jones,Kamille Jakubowski,Permanent,Newport,ZB21 8OL,United Kingdom,80000
28,9a18c380-3482-ee11-8179-002248c7244c,Business Analyst,PR/006009,"Green, O'Kon and Schiller",Weldon Schowalter,Permanent,Swansea,PL17 3QB,United Kingdom,90000
29,84e08858-b37c-ee11-94fa-000d3ad6abf9,Software Engineer,PR/005382,"Emard, Reynolds and Cummerata",Zander Schaefer,Permanent,Dundee,VR02 0JG,United Kingdom,78500
30,75cdb042-3582-ee11-8179-6045bd0c1c36,Cyber Security Manager,PR/006010,"Vandervort, Corwin and Hamill",Adrain Leuschke,Permanent,Edinburgh,HC04 4LU,United Kingdom,85000
31,740257b6-1582-ee11-8179-6045bd0c1d6a,Senior Data Engineer,PR/006003,Fisher-Armstrong,Juston Vandervort,Permanent,Swansea,RH52 6AT,United Kingdom,150000
32,51f36ffb-9699-ee11-be37-002248c6f97c,AI Testing A Team,,Abbott Group,Libby Dickens,Permanent,Londonderry County Borough,QL26 1IB,United Kingdom,1234
33,5ebf0e31-ba99-ee11-be37-002248c6f667,Senior Business Analyst,,Barclays,Aaliyah Berge,Contract,,,,48500
34,d0c38c68-da99-ee11-be37-002248c6f97c,c# developer,,Barclays,Aaliyah Berge,Contract,,,,78500
35,46398fe2-fe68-ee11-94f7-000d3ad6abf9,Project Marketing Manager,PR/005336,Sauer Group,Rosalyn Dare,Permanent,Newport,MB11 1IT,United Kingdom,58250
36,33398fe2-fe68-ee11-94f7-000d3ad6abf9,Senior backend engineer,PR/005317,"Waters, Abshire and Cummerata",Toni Bode,Permanent,Dundee,AD02 4MA,United Kingdom,38250
37,a0378fe2-fe68-ee11-94f7-000d3ad6abf9,FinOps Software Developer,PR/004914,Lesch-Hirthe,Golda Pouros,Permanent,Londonderry,UW26 3AF,United Kingdom,28250
38,4e398fe2-fe68-ee11-94f7-000d3ad6abf9,Quantitative Researcher,PR/005344,Streich-Pfannerstill,Mateo Cartwright,Permanent,Liverpool,QF61 4YI,United Kingdom,68250
39,64398fe2-fe68-ee11-94f7-000d3ad6abf9,DevOps Engineer,PR/005366,Treutel Group,Orin Rice,Permanent,Cardiff,NM46 4MW,United Kingdom,24250
40,b3388fe2-fe68-ee11-94f7-000d3ad6abf9,Project Manager,CR/005189,McClure-Durgan,Vicenta Kuphal,Contract,Wrexham,RA42 5RN,United Kingdom,64250
41,e2388fe2-fe68-ee11-94f7-000d3ad6abf9,Consultant SME,CR/005236,Gerlach-Morar,Ashlynn Vandervort,Contract,Cardiff,KO61 5DQ,United Kingdom,54250
42,07398fe2-fe68-ee11-94f7-000d3ad6abf9,ML Engineer,PR/005273,"McCullough, Beahan and Abshire",Domenica Emard,Permanent,Birmingham,KY27 5VQ,United Kingdom,44250
43,08398fe2-fe68-ee11-94f7-000d3ad6abf9,Research Engineer - London,PR/005274,"Gaylord, Sauer and Stracke",Mavis Bauch,Permanent,Belfast,AS18 4YN,United Kingdom,54250
44,f3388fe2-fe68-ee11-94f7-000d3ad6abf9,Senior C++ Engineer,PR/005253,Oberbrunner LLC,Luz Gerhold,Permanent,London,NG31 8OQ,United Kingdom,26250
45,a0e08858-b37c-ee11-94fa-000d3ad6abf9,Production Engineer (London),PR/005410,"McCullough, Beahan and Abshire",Domenica Emard,Permanent,Birmingham,KY27 5VQ,United Kingdom,36250
46,7ce08858-b37c-ee11-94fa-000d3ad6abf9,Sales & Business Development Executive,PR/005374,Sauer Group,Casimir Bradtke,Permanent,Newport,MB11 1IT,United Kingdom,66250
47,84eba454-a583-ee11-8179-002248c7244c,Automation Lead for Bristol Office,PR/006018,Kunde LLC,Joana Crist,Permanent,Liverpool,DE40 4DK,United Kingdom,65000
48,50398fe2-fe68-ee11-94f7-000d3ad6abf9,Head of Development,CR/005346,"Reichert, Schaefer and Volkman",Sonia Strosin,Contract,Lisburn,EO67 1GF,United Kingdom,99999
49,d2303611-348d-ee11-be36-6045bd0c1c1b,HIG IT Support Analyst,PR/006054,Ortiz-Jaskolski,Jermaine Zulauf,Permanent,Buckley,SR20 4GH,United Kingdom,100000
50,b2378fe2-fe68-ee11-94f7-000d3ad6abf9,Facilities Manager,TR/004932,Schmeler LLC,Lula Grimes,Contract,London,WN28 0TX,United Kingdom,34250
